iter	Passed	Remaining
0	138	137935
1	140	70001
2	142	47342
3	144	35886
4	145	29003
5	147	24446
6	149	21174
7	151	18737
8	152	16833
9	154	15321
10	156	14063
11	158	13020
12	159	12131
13	161	11372
14	163	10711
15	165	10149
16	167	9656
17	168	9202
18	170	8790
19	171	8419
20	173	8087
21	175	7782
22	176	7510
23	178	7260
24	180	7038
25	182	6825
26	183	6626
27	185	6440
28	187	6269
29	188	6105
30	190	5953
31	192	5812
32	194	5693
33	196	5569
34	197	5453
35	199	5340
36	201	5238
37	202	5138
38	204	5043
39	206	4951
40	208	4867
41	210	4796
42	212	4720
43	213	4649
44	215	4579
45	217	4510
46	219	4445
47	221	4383
48	223	4329
49	224	4274
50	226	4219
51	228	4164
52	230	4111
53	231	4063
54	233	4015
55	235	3970
56	237	3930
57	239	3888
58	241	3848
59	242	3806
60	244	3766
61	246	3726
62	248	3690
63	249	3654
64	253	3641
65	255	3615
66	257	3581
67	258	3549
68	260	3516
69	262	3482
70	263	3451
71	265	3420
72	267	3395
73	269	3373
74	271	3347
75	273	3320
76	274	3293
77	276	3266
78	277	3240
79	279	3216
80	281	3196
81	283	3178
82	284	3147
83	286	3125
84	288	3104
85	290	3083
86	292	3064
87	293	3046
88	296	3030
89	298	3014
90	300	2996
91	301	2979
92	303	2963
93	305	2946
94	307	2930
95	309	2915
96	311	2902
97	313	2888
98	315	2874
99	317	2859
100	319	2843
101	321	2830
102	323	2817
103	325	2807
104	328	2800
105	330	2789
106	332	2776
107	334	2766
108	336	2754
109	339	2742
110	341	2736
111	344	2728
112	346	2716
113	349	2712
114	350	2701
115	353	2691
116	355	2681
117	357	2671
118	359	2660
119	361	2648
120	363	2638
121	365	2626
122	367	2617
123	369	2607
124	371	2602
125	374	2595
126	375	2584
127	378	2576
128	380	2569
129	382	2562
130	385	2560
131	388	2554
132	390	2546
133	392	2538
134	394	2530
135	397	2523
136	399	2517
137	401	2510
138	404	2502
139	406	2496
140	408	2489
141	410	2478
142	413	2480
143	419	2491
